# HULL SECTION 83
0.00000,-180.00000
1.08919,-178.69089
2.17838,-177.37212
3.26757,-176.04347
4.35676,-174.70472
5.44595,-173.35563
6.53514,-171.99596
7.62433,-170.62545
8.71352,-169.24384
9.80271,-167.85087
10.89190,-166.44623
11.98109,-165.02964
13.07028,-163.60079
14.15947,-162.15934
15.24866,-160.70497
16.33785,-159.23731
17.42704,-157.75600
18.51623,-156.26065
19.60542,-154.75085
20.69461,-153.22618
21.78380,-151.68617
22.87299,-150.13038
23.96218,-148.55829
25.05137,-146.96938
26.14056,-145.36311
27.22975,-143.73889
28.31894,-142.09611
29.40813,-140.43411
30.49732,-138.75220
31.58651,-137.04966
32.67570,-135.32569
33.76489,-133.57948
34.85408,-131.81014
35.94327,-130.01672
37.03246,-128.19822
38.12165,-126.35354
39.21084,-124.48153
40.30003,-122.58094
41.38922,-120.65041
42.47841,-118.68849
43.56760,-116.69358
44.65679,-114.66397
45.74598,-112.59778
46.83517,-110.49297
47.92436,-108.34727
49.01355,-106.15821
50.10274,-103.92305
51.19193,-101.63875
52.28112,-99.30191
53.37030,-96.90874
54.45949,-94.45496
55.54868,-91.93571
56.63787,-89.34545
57.72706,-86.67781
58.81625,-83.92543
59.90544,-81.07967
60.99463,-78.13033
62.08382,-75.06519
63.17301,-71.86945
64.26220,-68.52483
65.35139,-65.00836
66.44058,-61.29047
67.52977,-57.33199
68.61896,-53.07910
69.70815,-48.45437
70.79734,-43.33891
71.88653,-37.53259
72.97572,-30.64524
74.06491,-21.66945
75.15410,-0.00000
73.22707,13.27159
71.30005,18.18125
69.37302,21.57463
67.44599,24.14292
65.51896,26.16618
63.59193,27.79460
61.66490,29.12145
59.73788,30.21020
57.81085,31.10682
55.88382,31.84610
53.95679,32.45528
52.02976,32.95622
50.10274,33.36678
48.17571,33.70177
46.24868,33.97361
44.32165,34.19275
42.39462,34.36807
40.46759,34.50714
38.54057,34.61636
36.61354,34.70119
34.68651,34.76627
32.75948,34.81549
30.83245,34.85214
28.90542,34.87893
26.97840,34.89812
25.05137,34.91155
23.12434,34.92070
21.19731,34.92673
19.27028,34.93056
17.34325,34.93288
15.41623,34.93422
13.48920,34.93494
11.56217,34.93529
9.63514,34.93544
7.70811,34.93550
5.78108,34.93552
3.85406,34.93552
1.92703,34.93552
0.00000,34.93552
