# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,8.795597082878088280e-01,1.485620309923518789e-02,1.221684812997215333e-05,3.524610542405405833e-01,1.552669388097065672e+00,3.890597082878088031e+00
2.599999999999999881e-02,4.010970620869994119e-01,1.251199216603485209e-02,6.671742008984089985e-04,1.045841043959706423e-01,1.478210887844424004e+00,-4.512451037717823965e-01
4.399999999999999745e-02,-8.397258374442315154e-02,2.566882467008502547e-02,-1.196943094027613395e-03,-1.332691970026338504e-02,1.394547443713503698e+00,-3.741682855541498043e+00
6.199999999999999956e-02,-4.213154864650645592e-01,1.009007602467473369e-01,-1.047601993275773004e-02,-7.784771820981988000e-02,1.307609303685703050e+00,-8.582494353231155060e+00
8.000000000000000167e-02,-5.516855175794999067e-01,1.164693754139763393e-01,-1.580837880101280610e-02,-8.162273145767080795e-02,1.233440682226291996e+00,-1.079394537130345810e+01
9.800000000000000377e-02,-6.515587311723683994e-01,1.283961013236833149e-01,-2.036728653943369050e-02,-7.610525180500730957e-02,1.165130889948782444e+00,-1.248808257438683000e+01
1.160000000000000059e-01,-7.247796409892536262e-01,1.371400446777571169e-01,-2.372678013232410593e-02,-6.671746252850396797e-02,1.102613849039460359e+00,-1.373011998263595501e+01
1.340000000000000080e-01,-7.753605439452595505e-01,1.431803486203234166e-01,-2.588608293576664943e-02,-5.655569719091948361e-02,1.045332103180045102e+00,-1.458811770175048395e+01
1.519999999999999962e-01,-8.068287895791635966e-01,1.469382445268761217e-01,-2.703077568407587575e-02,-4.705474531948925648e-02,9.926020767541129386e-01,-1.512190973393126825e+01
