# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.615411748832043415e-01,1.633267761785096167e-02,1.789974410975767797e-04,2.620837432558851265e-01,1.538308563042471766e+00,4.713411748832044168e+00
2.599999999999999881e-02,7.196215845513179721e-01,1.280291819776767891e-02,2.614102041973169390e-03,1.292054180136958941e-01,1.429817392209245419e+00,2.321497952008726884e+00
4.399999999999999745e-02,5.305762127083274438e-01,1.213999999999999975e-02,4.070325131705797815e-03,6.301363266925699702e-02,1.318352575458781040e+00,6.239615160094587054e-01
6.199999999999999956e-02,8.539248833221874113e-02,1.852921869547230135e-02,7.957727110924814849e-04,1.324527932064685325e-02,1.204093329595806061e+00,-2.651465925694466819e+00
8.000000000000000167e-02,-2.281801198567309091e-02,2.227994440636403561e-02,-2.029521435893977006e-03,-1.383925392065616777e-03,1.103667833554642375e+00,-3.358508847028026878e+00
9.800000000000000377e-02,-9.154037753619609363e-02,2.614596304163680635e-02,-5.054853939728045156e-03,-7.422628651182701202e-03,1.013313664593867403e+00,-3.789596304163680429e+00
1.160000000000000059e-01,-1.295939081776785462e-01,2.880161939157885320e-02,-7.404047267904692760e-03,-8.812699313786422420e-03,9.332514278393110319e-01,-4.026368039750423122e+00
1.340000000000000080e-01,-1.466728009041958214e-01,3.072667561915827864e-02,-8.890525889494701670e-03,-8.129501799668334069e-03,8.626008469720078953e-01,-4.118387935906227426e+00
1.519999999999999962e-01,-1.457561567763115962e-01,3.062335560215753705e-02,-9.288850329528608799e-03,-6.560002857944983827e-03,8.004681934747051031e-01,-4.113449120562023609e+00
