# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,1.228691026279299603e+00,2.210212067004463030e-02,1.012077346350618223e-03,1.628360183535763617e-01,1.489274816461529705e+00,7.522838481634053664e+00
2.599999999999999881e-02,1.351670921330830666e+00,5.434836391468852307e-02,1.223510664917673400e-02,1.247276214141223860e-01,1.266667017797705075e+00,1.166932583176917149e+01
4.399999999999999745e-02,1.176244020930065526e+00,1.412553359948047760e-01,2.026614810326730562e-02,8.124112129198581000e-02,1.065527323093072631e+00,1.510978143089447912e+01
6.199999999999999956e-02,1.351214296222351896e+00,5.677876485779415061e-02,6.750294691954848714e-02,1.195414342218275305e-01,9.507744745091787353e-01,1.186263534185538049e+01
8.000000000000000167e-02,1.350739459606599802e+00,5.796950898652655781e-02,1.014382623798013167e-01,1.097026723792701164e-01,8.364150087774593345e-01,1.195395007565387857e+01
9.800000000000000377e-02,1.351629572469615459e+00,5.404031489863508897e-02,1.352281545615627023e-01,9.853848700939431271e-02,7.439556206187520893e-01,1.164348279350965498e+01
1.160000000000000059e-01,1.349691926998715541e+00,4.878507891194532736e-02,1.663097796486515123e-01,8.721452638472142194e-02,6.679655317984534157e-01,1.117339416773703675e+01
1.340000000000000080e-01,1.351781242806565642e+00,4.320032987805279973e-02,1.945037778719568011e-01,7.693479424426248603e-02,6.051287151910405004e-01,1.063367855737935486e+01
1.519999999999999962e-01,1.347928539610030230e+00,3.907795060306602786e-02,2.184517050430140050e-01,6.756999280721572021e-02,5.519084894679708864e-01,1.012797287604482221e+01
