# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,1.301601493687282174e+00,8.500228880991529679e-02,2.124484422638928897e-03,8.599770433091025179e-02,1.385774331596317133e+00,1.345297944196838102e+01
2.599999999999999881e-02,9.208225407738058754e-01,3.693506054174963693e-01,1.114390651519260762e-02,6.120776777745029484e-02,9.548864794880436158e-01,2.953303481122964769e+01
4.399999999999999745e-02,8.819891954881876606e-01,4.925671488960105537e-01,3.008960491731186779e-02,6.275785780917296497e-02,7.056321785565304872e-01,3.573025428008909188e+01
6.199999999999999956e-02,9.016529924684912878e-01,4.244623670160295736e-01,1.051389410981438677e-01,9.684865841606417336e-02,5.924629795553024714e-01,3.239237175373558131e+01
8.000000000000000167e-02,9.127808848163306843e-01,3.899709818793815064e-01,1.811595957745211483e-01,1.001649635319368098e-01,5.101927984380821846e-01,3.064510591152919261e+01
9.800000000000000377e-02,9.297083887010908487e-01,3.465655558689196281e-01,2.641571934705926883e-01,9.656608147686453203e-02,4.531708761051945200e-01,2.830422140092642636e+01
1.160000000000000059e-01,9.466628273264697802e-01,3.030910639229836834e-01,3.460463259305056050e-01,8.919023751741596284e-02,4.098973446686048905e-01,2.595961211686970316e+01
1.340000000000000080e-01,9.746459701235411499e-01,2.675902092393819820e-01,4.257581508860115993e-01,8.138599264937609878e-02,3.762186906652472684e-01,2.374925685094347116e+01
1.519999999999999962e-01,9.993486812148357767e-01,2.365098658456680492e-01,4.983376979836350862e-01,7.332223959821983217e-02,3.480210219375414749e-01,2.180986426114903765e+01
