# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.734465255510317272e-01,1.655565730959778978e-02,2.067185559703558486e-04,2.538219928189354713e-01,1.536224907082853974e+00,4.832796441275419852e+00
2.599999999999999881e-02,7.608968550429771049e-01,1.318496855042977124e-02,2.956114865554644588e-03,1.309725116366284026e-01,1.422926518828669273e+00,2.716315913874780108e+00
4.399999999999999745e-02,6.027548892482454956e-01,1.222015682642355917e-02,4.962043427868259235e-03,6.875611037327426789e-02,1.307417589114435952e+00,1.250490082573620043e+00
6.199999999999999956e-02,1.882503312489599567e-01,1.652479529459240093e-02,3.304430190103822135e-03,2.690965060895839436e-02,1.192271502324251609e+00,-1.974125116901745969e+00
8.000000000000000167e-02,9.676347119387822271e-02,1.826838944941877249e-02,1.972773172685767309e-03,1.230791689359767536e-02,1.090048862487056791e+00,-2.578199283544599041e+00
9.800000000000000377e-02,4.312247775964227203e-02,1.969525479297784543e-02,5.035971844313014449e-04,5.359912439156915356e-03,9.984031226446759000e-01,-2.935285180222237500e+00
1.160000000000000059e-01,1.571854850805867732e-02,2.067265285083753554e-02,-5.274409527806146096e-04,2.510986418631588370e-03,9.173394283310155606e-01,-3.114677624310850490e+00
1.340000000000000080e-01,7.024345304083544350e-03,2.100755710690902639e-02,-8.691438996341152058e-04,1.699562590210977261e-03,8.460505426539783880e-01,-3.170125348825997946e+00
1.519999999999999962e-01,1.205432451793836575e-02,2.081380025453859889e-02,-4.879673950849160212e-04,1.835804322359802388e-03,7.834442044637646152e-01,-3.138046399758046334e+00
