# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,1.337871890823920218e+00,3.512066861187709832e-02,1.618157474944412200e-03,1.296256171535482282e-01,1.453081578996249457e+00,9.596558235309387896e+00
2.599999999999999881e-02,1.059991269990263385e+00,1.959630520667733355e-01,1.026378452677452133e-02,7.993429452864593554e-02,1.139282364294185168e+00,1.896792885225723069e+01
4.399999999999999745e-02,9.675840599567250289e-01,2.764753308840888768e-01,2.172795092335123163e-02,6.223433685927052400e-02,9.050634786051072744e-01,2.430368248449846647e+01
6.199999999999999956e-02,9.961088256822303588e-01,2.405861723744232572e-01,6.878446772136312393e-02,9.077785459039904026e-02,7.727231799739793239e-01,2.206422305556304764e+01
8.000000000000000167e-02,1.000252211214936793e+00,2.353730666269150118e-01,1.117281700449864607e-01,8.989671614732981653e-02,6.656349136365327102e-01,2.173892875207162945e+01
9.800000000000000377e-02,1.014039664040881972e+00,2.180260326608328691e-01,1.585835764015941507e-01,8.541099022064849167e-02,5.866490485451998360e-01,2.065648546299470212e+01
1.160000000000000059e-01,1.052924758690313656e+00,1.992515760742328557e-01,2.086911353020182991e-01,8.024536691019805434e-02,5.274909253966479916e-01,1.922199624332190027e+01
1.340000000000000080e-01,1.092999165724205524e+00,1.806022533714450040e-01,2.572408065862360482e-01,7.413500654584136151e-02,4.803814194925269399e-01,1.778117210657466885e+01
1.519999999999999962e-01,1.129887267401362250e+00,1.634357333156712111e-01,3.022690850296990139e-01,6.775141990363055255e-02,4.414826485371741160e-01,1.645490751056245671e+01
