# Results for prop be50_340mm_pit:
# Water density was 1025.0 kg*m^-3
V,RPM,T,Q,pwr,eff,J,dist_file
1.250,325.0,41.430,4.187,142.507,0.36340,0.216,sweepvrpm_dist_60.out
1.500,325.0,45.318,4.551,154.902,0.43884,0.259,sweepvrpm_dist_61.out
1.750,325.0,50.450,5.075,172.714,0.51117,0.302,sweepvrpm_dist_62.out
2.000,325.0,58.369,5.821,198.096,0.58930,0.346,sweepvrpm_dist_63.out
2.250,325.0,70.899,6.859,233.433,0.68338,0.389,sweepvrpm_dist_64.out
2.500,325.0,76.821,7.656,260.559,0.73708,0.432,sweepvrpm_dist_65.out
2.750,325.0,77.285,8.080,274.991,0.77287,0.475,sweepvrpm_dist_66.out
3.000,325.0,73.482,8.081,275.042,0.80150,0.519,sweepvrpm_dist_67.out
3.250,325.0,67.764,7.840,266.843,0.82533,0.562,sweepvrpm_dist_68.out
3.500,325.0,61.551,7.480,254.568,0.84625,0.605,sweepvrpm_dist_69.out
3.750,325.0,54.978,7.011,238.623,0.86399,0.648,sweepvrpm_dist_70.out
4.000,325.0,47.756,6.397,217.710,0.87742,0.691,sweepvrpm_dist_71.out
4.250,325.0,39.717,5.603,190.698,0.88516,0.735,sweepvrpm_dist_72.out
4.500,325.0,31.054,4.658,158.533,0.88148,0.778,sweepvrpm_dist_73.out
4.750,325.0,20.912,3.450,117.413,0.84602,0.821,sweepvrpm_dist_74.out
5.000,325.0,9.400,1.943,66.119,0.71082,0.864,sweepvrpm_dist_75.out
5.250,325.0,-2.728,0.295,10.050,-1.42482,0.907,sweepvrpm_dist_76.out
5.500,325.0,-16.603,-1.540,-52.399,1.74270,0.951,sweepvrpm_dist_77.out
5.750,325.0,-30.071,-3.151,-107.254,1.61213,0.994,sweepvrpm_dist_78.out
6.000,325.0,-39.900,-4.147,-141.125,1.69638,1.037,sweepvrpm_dist_79.out
6.250,325.0,-47.246,-4.903,-166.855,1.76974,1.080,sweepvrpm_dist_80.out
6.500,325.0,-55.424,-5.978,-203.438,1.77083,1.123,sweepvrpm_dist_81.out
6.750,325.0,-64.251,-7.293,-248.193,1.74740,1.167,sweepvrpm_dist_82.out
7.000,325.0,-73.038,-8.657,-294.624,1.73532,1.210,sweepvrpm_dist_83.out
0.100,350.0,4.374,0.521,19.112,0.02289,0.016,sweepvrpm_dist_84.out
0.500,350.0,18.846,2.092,76.660,0.12292,0.080,sweepvrpm_dist_85.out
0.750,350.0,40.210,4.202,154.012,0.19581,0.120,sweepvrpm_dist_86.out
1.000,350.0,43.650,4.478,164.111,0.26598,0.160,sweepvrpm_dist_87.out
1.250,350.0,46.723,4.738,173.670,0.33629,0.201,sweepvrpm_dist_88.out
1.500,350.0,50.482,5.080,186.181,0.40671,0.241,sweepvrpm_dist_89.out
1.750,350.0,55.356,5.558,203.702,0.47556,0.281,sweepvrpm_dist_90.out
2.000,350.0,61.531,6.211,227.656,0.54056,0.321,sweepvrpm_dist_91.out
2.250,350.0,72.536,7.150,262.077,0.62274,0.361,sweepvrpm_dist_92.out
2.500,350.0,85.396,8.279,303.430,0.70359,0.401,sweepvrpm_dist_93.out
2.750,350.0,89.742,9.034,331.112,0.74534,0.441,sweepvrpm_dist_94.out
3.000,350.0,89.303,9.399,344.481,0.77771,0.481,sweepvrpm_dist_95.out
3.250,350.0,84.787,9.360,343.047,0.80327,0.522,sweepvrpm_dist_96.out
3.500,350.0,78.590,9.093,333.280,0.82533,0.562,sweepvrpm_dist_97.out
3.750,350.0,71.911,8.709,319.186,0.84485,0.602,sweepvrpm_dist_98.out
4.000,350.0,64.889,8.218,301.214,0.86170,0.642,sweepvrpm_dist_99.out
4.250,350.0,57.262,7.589,278.136,0.87498,0.682,sweepvrpm_dist_100.out
4.500,350.0,48.841,6.786,248.722,0.88365,0.722,sweepvrpm_dist_101.out
4.750,350.0,39.560,5.787,212.095,0.88598,0.762,sweepvrpm_dist_102.out
5.000,350.0,29.671,4.669,171.132,0.86689,0.802,sweepvrpm_dist_103.out
5.250,350.0,17.566,3.137,114.993,0.80197,0.843,sweepvrpm_dist_104.out
5.500,350.0,5.069,1.464,53.668,0.51952,0.883,sweepvrpm_dist_105.out
5.750,350.0,-8.538,-0.388,-14.206,3.45613,0.923,sweepvrpm_dist_106.out
6.000,350.0,-24.228,-2.394,-87.732,1.65694,0.963,sweepvrpm_dist_107.out
6.250,350.0,-37.531,-3.949,-144.727,1.62076,1.003,sweepvrpm_dist_108.out
6.500,350.0,-47.740,-4.960,-181.811,1.70678,1.043,sweepvrpm_dist_109.out
6.750,350.0,-55.445,-5.765,-211.289,1.77129,1.083,sweepvrpm_dist_110.out
7.000,350.0,-64.278,-6.932,-254.089,1.77083,1.123,sweepvrpm_dist_111.out
0.100,400.0,5.703,0.680,28.467,0.02003,0.014,sweepvrpm_dist_112.out
0.500,400.0,23.692,2.655,111.224,0.10651,0.070,sweepvrpm_dist_113.out
0.750,400.0,50.456,5.327,223.137,0.16959,0.105,sweepvrpm_dist_114.out
1.000,400.0,54.917,5.677,237.813,0.23092,0.140,sweepvrpm_dist_115.out
1.250,400.0,58.461,5.970,250.075,0.29222,0.176,sweepvrpm_dist_116.out
1.500,400.0,62.142,6.288,263.376,0.35392,0.211,sweepvrpm_dist_117.out
1.750,400.0,66.643,6.702,280.719,0.41545,0.246,sweepvrpm_dist_118.out
2.000,400.0,72.301,7.259,304.069,0.47556,0.281,sweepvrpm_dist_119.out
2.250,400.0,79.249,7.991,334.721,0.53271,0.316,sweepvrpm_dist_120.out
2.500,400.0,90.867,9.000,377.001,0.60256,0.351,sweepvrpm_dist_121.out
2.750,400.0,106.150,10.284,430.760,0.67767,0.386,sweepvrpm_dist_122.out
3.000,400.0,115.156,11.351,475.475,0.72658,0.421,sweepvrpm_dist_123.out
3.250,400.0,117.674,12.050,504.762,0.75766,0.456,sweepvrpm_dist_124.out
3.500,400.0,115.654,12.308,515.566,0.78513,0.492,sweepvrpm_dist_125.out
3.750,400.0,109.785,12.192,510.700,0.80614,0.527,sweepvrpm_dist_126.out
4.000,400.0,102.649,11.877,497.491,0.82533,0.562,sweepvrpm_dist_127.out
4.250,400.0,95.032,11.444,479.366,0.84255,0.597,sweepvrpm_dist_128.out
4.500,400.0,87.103,10.909,456.949,0.85778,0.632,sweepvrpm_dist_129.out
4.750,400.0,78.638,10.244,429.108,0.87048,0.667,sweepvrpm_dist_130.out
5.000,400.0,69.410,9.415,394.394,0.87996,0.702,sweepvrpm_dist_131.out
5.250,400.0,59.359,8.403,351.964,0.88541,0.737,sweepvrpm_dist_132.out
5.500,400.0,48.626,7.224,302.588,0.88385,0.772,sweepvrpm_dist_133.out
5.750,400.0,36.916,5.877,246.164,0.86231,0.807,sweepvrpm_dist_134.out
6.000,400.0,22.943,4.098,171.652,0.80197,0.843,sweepvrpm_dist_135.out
6.250,400.0,8.679,2.192,91.814,0.59081,0.878,sweepvrpm_dist_136.out
6.500,400.0,-6.569,0.117,4.918,-8.68109,0.913,sweepvrpm_dist_137.out
6.750,400.0,-23.684,-2.151,-90.111,1.77410,0.948,sweepvrpm_dist_138.out
7.000,400.0,-41.086,-4.249,-177.985,1.61589,0.983,sweepvrpm_dist_139.out
0.100,500.0,8.715,1.029,53.902,0.01617,0.011,sweepvrpm_dist_140.out
0.500,500.0,15.359,1.807,94.631,0.08115,0.056,sweepvrpm_dist_141.out
0.750,500.0,55.627,6.055,317.020,0.13160,0.084,sweepvrpm_dist_142.out
1.000,500.0,80.376,8.444,442.141,0.18179,0.112,sweepvrpm_dist_143.out
1.250,500.0,85.807,8.871,464.479,0.23092,0.140,sweepvrpm_dist_144.out
1.500,500.0,90.274,9.238,483.684,0.27996,0.169,sweepvrpm_dist_145.out
1.750,500.0,94.693,9.613,503.335,0.32923,0.197,sweepvrpm_dist_146.out
2.000,500.0,99.626,10.052,526.309,0.37858,0.225,sweepvrpm_dist_147.out
2.250,500.0,105.699,10.621,556.121,0.42765,0.253,sweepvrpm_dist_148.out
2.500,500.0,112.971,11.342,593.885,0.47556,0.281,sweepvrpm_dist_149.out
2.750,500.0,121.508,12.235,640.628,0.52159,0.309,sweepvrpm_dist_150.out
3.000,500.0,133.743,13.373,700.197,0.57302,0.337,sweepvrpm_dist_151.out
3.250,500.0,150.954,14.822,776.098,0.63214,0.365,sweepvrpm_dist_152.out
