# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,8.973154206865382454e-01,1.516043313662959226e-02,4.447162942089721963e-05,3.256404537520186104e-01,1.549565654503200385e+00,4.068427918539541110e+00
2.599999999999999881e-02,4.740705755403248900e-01,1.215385836330910331e-02,1.017799333476606142e-03,1.122786487098181157e-01,1.467655380507167262e+00,1.535409172724087057e-01
4.399999999999999745e-02,6.557753099011086328e-02,1.901666801952961797e-02,-1.875824125025564665e-04,1.061540512826603111e-02,1.377781427958491678e+00,-2.781060913529458389e+00
6.199999999999999956e-02,-3.607588165267995306e-01,8.930589355712069410e-02,-9.937696605957151846e-03,-6.060802078613532207e-02,1.281052919499161558e+00,-7.060925620214362652e+00
8.000000000000000167e-02,-4.461354067514014532e-01,1.038647220109360503e-01,-1.465350126379508407e-02,-5.999520408337151445e-02,1.202191718738257808e+00,-9.003511649280689255e+00
9.800000000000000377e-02,-5.276982947140398394e-01,1.136048532647478820e-01,-1.901348931525776581e-02,-5.634878652639863095e-02,1.128461006552810453e+00,-1.038705302056077784e+01
1.160000000000000059e-01,-5.848475112947328913e-01,1.204295364564888643e-01,-2.226559881383225609e-02,-4.948520908823399872e-02,1.061185810951006836e+00,-1.135646824666034860e+01
1.340000000000000080e-01,-6.217459144967876217e-01,1.248358945345489773e-01,-2.438789123776550008e-02,-4.189374526267893722e-02,9.998532504417367850e-01,-1.198237138274843261e+01
1.519999999999999962e-01,-6.422212166936426270e-01,1.272810278033731923e-01,-2.554414320852674974e-02,-3.475771457690873117e-02,9.438686742536557261e-01,-1.232969144934278205e+01
