# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.483345492210168981e-01,3.006945917423688996e-01,1.452509213963387637e-03,3.513422745097628808e-02,1.170017276064184930e+00,2.581494812412928752e+01
2.599999999999999881e-02,7.612327474522304627e-01,8.089929778292159757e-01,1.904753468978025166e-02,7.051949427968105810e-02,5.911203812751852915e-01,5.037529696876782737e+01
4.399999999999999745e-02,7.336849140593186824e-01,8.612984438287665245e-01,8.028208009271062262e-02,9.450466191200722343e-02,4.074189685181927034e-01,5.281661261033420374e+01
6.199999999999999956e-02,8.134054145226883303e-01,6.966024804336637954e-01,2.947887781310808419e-01,1.406861218611492326e-01,3.690835165938092244e-01,4.519107221132804142e+01
8.000000000000000167e-02,8.501932168657873046e-01,5.965321420965974397e-01,5.095245081914848706e-01,1.412204444334813069e-01,3.364023790576596840e-01,4.060256346183599163e+01
9.800000000000000377e-02,8.768379433786772648e-01,5.104083065156913568e-01,6.999999999999999556e-01,1.329692522899554863e-01,3.083007708377502598e-01,3.660466701036693848e+01
1.160000000000000059e-01,8.896346963516704731e-01,4.660872595240717065e-01,6.999999999999999556e-01,1.301468890981254956e-01,2.620184477923729327e-01,3.443244878692812705e+01
1.340000000000000080e-01,9.020315989939821089e-01,4.231510783131041675e-01,6.999999999999999556e-01,1.237004123608898415e-01,2.264895583775624055e-01,3.232810420118379824e+01
1.519999999999999962e-01,9.147913408049866968e-01,3.848157800695350961e-01,6.999999999999999556e-01,1.156889851276623193e-01,1.986693918524738700e-01,3.036708232842250510e+01
