# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.551780559820115535e-01,1.621559623006901124e-02,1.645513997709578235e-04,2.668216881368551396e-01,1.539419136797688825e+00,4.649780559820115400e+00
2.599999999999999881e-02,6.972385584603655317e-01,1.263384684614546859e-02,2.437775531023108830e-03,1.281551001914724985e-01,1.433503059046201233e+00,2.110324797559826493e+00
4.399999999999999745e-02,4.910218877570783347e-01,1.214825937074764071e-02,3.615800116465249080e-03,5.962437934215262386e-02,1.324119942401140504e+00,2.935157313089860054e-01
6.199999999999999956e-02,3.101071767534328838e-02,2.008359225281203253e-02,-4.645715965869516009e-04,5.633731973143574732e-03,1.210475738782783139e+00,-3.017151035233780476e+00
8.000000000000000167e-02,-8.918009932701034814e-02,2.599619919587628850e-02,-4.169272621469148621e-03,-9.278135167825805191e-03,1.110930341824812428e+00,-3.774619919587628658e+00
9.800000000000000377e-02,-1.692237405840436582e-01,3.326851644945147402e-02,-8.207189106884730384e-03,-1.490229002936503851e-02,1.021172786911900054e+00,-4.239890843664028353e+00
1.160000000000000059e-01,-2.164725170961724898e-01,4.042040729580018144e-02,-1.156033994432077022e-02,-1.541313063560350270e-02,9.415816960959275672e-01,-4.503657253066350563e+00
1.340000000000000080e-01,-2.337208208607334525e-01,4.372054714920534796e-02,-1.341439294299285635e-02,-1.343582230297070586e-02,8.716550936320598408e-01,-4.637158056197627332e+00
1.519999999999999962e-01,-2.355240190768310149e-01,4.406555535278067204e-02,-1.419590092891304632e-02,-1.102847309132347874e-02,8.098522280884987712e-01,-4.651114698737082165e+00
