Gunther
     0.999984    0.016038
     0.994319    0.016541
     0.983356    0.017510
     0.970283    0.018656
     0.956354    0.019866
     0.942178    0.021084
     0.927934    0.022294
     0.913666    0.023491
     0.899385    0.024674
     0.885093    0.025842
     0.870791    0.026994
     0.856480    0.028130
     0.842161    0.029248
     0.827833    0.030349
     0.813498    0.031431
     0.799155    0.032495
     0.784805    0.033538
     0.770448    0.034561
     0.756085    0.035563
     0.741716    0.036542
     0.727341    0.037500
     0.712961    0.038434
     0.698576    0.039343
     0.684187    0.040228
     0.669793    0.041088
     0.655396    0.041921
     0.640996    0.042727
     0.626592    0.043506
     0.612186    0.044255
     0.597779    0.044975
     0.583369    0.045665
     0.568958    0.046323
     0.554547    0.046950
     0.540135    0.047543
     0.525724    0.048102
     0.511314    0.048626
     0.496904    0.049114
     0.482497    0.049565
     0.468093    0.049978
     0.453691    0.050351
     0.439295    0.050685
     0.424906    0.050976
     0.410530    0.051225
     0.396214    0.051427
     0.381984    0.051562
     0.367782    0.051621
     0.353594    0.051603
     0.339419    0.051507
     0.325257    0.051330
     0.311110    0.051071
     0.296981    0.050729
     0.282872    0.050302
     0.268785    0.049788
     0.254723    0.049184
     0.240691    0.048489
     0.226692    0.047700
     0.212731    0.046813
     0.198812    0.045826
     0.184942    0.044735
     0.171129    0.043536
     0.157382    0.042224
     0.143713    0.040793
     0.130135    0.039236
     0.116734    0.037485
     0.103575    0.035477
     0.090653    0.033207
     0.077976    0.030678
     0.065581    0.027904
     0.053563    0.024917
     0.042148    0.021801
     0.031844    0.018699
     0.023390    0.015764
     0.016974    0.013127
     0.012237    0.010811
     0.008702    0.008756
     0.005993    0.006888
     0.003861    0.005139
     0.002153    0.003453
     0.000782    0.001793
    -0.000290    0.000139
    -0.001076   -0.001504
    -0.001588   -0.003129
    -0.001850   -0.004877
    -0.001763   -0.006663
    -0.001223   -0.008384
    -0.000115   -0.009984
     0.001750   -0.011421
     0.004576   -0.012684
     0.008504   -0.013802
     0.013669   -0.014799
     0.020192   -0.015678
     0.028464   -0.016349
     0.038664   -0.016732
     0.050467   -0.016930
     0.063313   -0.017036
     0.076776   -0.017045
     0.090617   -0.016963
     0.104709   -0.016805
     0.118976   -0.016590
     0.133370   -0.016336
     0.147853   -0.016064
     0.162401   -0.015789
     0.176999   -0.015512
     0.191639   -0.015233
     0.206313   -0.014954
     0.221014   -0.014674
     0.235737   -0.014394
     0.250475   -0.014116
     0.265207   -0.013839
     0.279919   -0.013564
     0.294609   -0.013292
     0.309277   -0.013024
     0.323927   -0.012760
     0.338558   -0.012500
     0.353174   -0.012244
     0.367777   -0.011994
     0.382371   -0.011750
     0.396974   -0.011511
     0.411620   -0.011279
     0.426308   -0.011053
     0.441012   -0.010834
     0.455726   -0.010624
     0.470442   -0.010423
     0.485155   -0.010231
     0.499866   -0.010050
     0.514573   -0.009879
     0.529277   -0.009719
     0.543978   -0.009571
     0.558676   -0.009435
     0.573372   -0.009311
     0.588065   -0.009200
     0.602757   -0.009102
     0.617447   -0.009019
     0.632135   -0.008949
     0.646821   -0.008895
     0.661507   -0.008856
     0.676191   -0.008834
     0.690874   -0.008828
     0.705556   -0.008840
     0.720238   -0.008870
     0.734919   -0.008918
     0.749600   -0.008986
     0.764280   -0.009075
     0.778961   -0.009184
     0.793641   -0.009316
     0.808321   -0.009470
     0.823002   -0.009647
     0.837683   -0.009849
     0.852365   -0.010076
     0.867047   -0.010328
     0.881731   -0.010608
     0.896417   -0.010916
     0.911103   -0.011252
     0.925788   -0.011618
     0.940461   -0.012014
     0.955078   -0.012441
     0.969453   -0.012892
     0.982943   -0.013346
     0.994217   -0.013748
     1.000015   -0.013962
