# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.687340574428450202e-01,1.646670710835892310e-02,1.956393391710437913e-04,2.570053981334394222e-01,1.537050691062603835e+00,4.785482504446235907e+00
2.599999999999999881e-02,7.443951112842703832e-01,1.301995111284270402e-02,2.816912973128729049e-03,1.302969556158197761e-01,1.425695843452802647e+00,2.557645300810293065e+00
4.399999999999999745e-02,5.744949129756654616e-01,1.217034315664729943e-02,4.603190578688158216e-03,6.657344950588210686e-02,1.311759519732210721e+00,1.001715783236491575e+00
6.199999999999999956e-02,1.476391025131144619e-01,1.718962218678697640e-02,2.292968742805060779e-03,2.162594690909598952e-02,1.196943016093788614e+00,-2.241783139833458449e+00
8.000000000000000167e-02,5.025115552473417846e-02,1.947982771765913168e-02,3.882514457669172954e-04,7.066088325160650024e-03,1.095426661696005777e+00,-2.886324481286166588e+00
9.800000000000000377e-02,-8.975518861383556535e-03,2.164853243929117793e-02,-1.686638936126723300e-03,4.652759067835375464e-04,1.004276002926713041e+00,-3.271776433968568654e+00
1.160000000000000059e-01,-4.081568178221495202e-02,2.310089074796068190e-02,-3.257527903454602875e-03,-1.875257988188435993e-03,9.235632476133883717e-01,-3.471276201642950809e+00
1.340000000000000080e-01,-5.209901682965183134e-02,2.371966418707645297e-02,-4.018201288661055887e-03,-2.095242442431094997e-03,8.525405222649298231e-01,-3.541973789659472516e+00
1.519999999999999962e-01,-4.851279794858517902e-02,2.350035656627939493e-02,-3.950768683214402922e-03,-1.413827440930554534e-03,7.901018911211191709e-01,-3.519503746545019851e+00
