# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,1.142621429695096946e+00,2.004066329127324880e-02,6.875061286513632717e-04,1.838572948345439106e-01,1.506169455809865720e+00,6.554846950578749443e+00
2.599999999999999881e-02,1.286271900046929373e+00,2.587554325786067810e-02,9.518861211233490757e-03,1.404548691913777292e-01,1.324792205070257856e+00,8.338997917644363156e+00
4.399999999999999745e-02,1.343935585316629489e+00,3.705193407808125144e-02,2.074768927696228268e-02,1.022740767986066307e-01,1.157171472819208180e+00,9.858958434521909453e+00
6.199999999999999956e-02,1.188338269019962201e+00,2.108391323302237844e-02,4.658107116958071225e-02,1.161483749352236194e-01,1.034823923984678595e+00,7.046956616511188543e+00
8.000000000000000167e-02,1.195682116807706974e+00,2.125470039087690860e-02,6.916777142637686726e-02,1.039920970600901190e-01,9.205678019009826407e-01,7.132350195438455387e+00
9.800000000000000377e-02,1.192219312050683433e+00,2.117417004769031608e-02,9.045224813586652535e-02,9.098007323032929194e-02,8.233924972673241083e-01,7.092085023845157821e+00
1.160000000000000059e-01,1.183120656412306682e+00,2.096345200581816240e-02,1.092760836139106406e-01,7.872665043659360373e-02,7.410277653879707715e-01,6.987236541258731393e+00
1.340000000000000080e-01,1.170532413707800368e+00,2.068008030857386090e-02,1.252863411146156736e-01,6.785694625451402229e-02,6.711489079726543627e-01,6.851000148352817121e+00
1.519999999999999962e-01,1.156697586081086415e+00,2.036595261952090299e-02,1.386836558394508867e-01,5.855449503608781137e-02,6.116906788195769495e-01,6.702705736145865956e+00
