# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,1.070191393905739696e+00,1.847006548341167953e-02,4.618226749670302088e-04,2.063912482365060641e-01,1.519189460560565585e+00,5.808855629123371500e+00
2.599999999999999881e-02,1.082200466311712628e+00,1.871903405768184439e-02,6.383877318654058476e-03,1.396813908987432629e-01,1.366821459061143385e+00,5.930899047883258390e+00
4.399999999999999745e-02,1.108222404794331650e+00,1.927925409633727757e-02,1.374131886588202470e-02,9.721769091574596067e-02,1.221071416225844697e+00,6.197761366196829158e+00
6.199999999999999956e-02,8.304980763911850028e-01,1.407256128544774609e-02,2.593050624216755584e-02,9.175317499828761214e-02,1.098468705512686494e+00,3.400379246924153165e+00
8.000000000000000167e-02,8.241523449584043925e-01,1.397901863086094092e-02,3.753001096350583321e-02,7.914921181832623720e-02,9.868061091045732258e-01,3.337174750581716864e+00
9.800000000000000377e-02,8.216791417166473543e-01,1.394256105319360665e-02,4.844861433369731379e-02,6.780645882705434169e-02,8.893579803065125855e-01,3.312541252157842564e+00
1.160000000000000059e-01,8.212701155147933418e-01,1.393653158328579840e-02,5.823133452249975445e-02,5.805407306696445946e-02,8.052344013133069245e-01,3.308467286003917707e+00
1.340000000000000080e-01,8.217282264702556738e-01,1.394328461330655855e-02,6.677292177629980119e-02,4.985877935252990695e-02,7.328981333832090828e-01,3.313030144126052789e+00
1.519999999999999962e-01,8.226851563000712186e-01,1.395739075024009408e-02,7.416261667159862458e-02,4.305544835602168052e-02,6.706853281138462908e-01,3.322561317729793018e+00
