# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.507423587632969353e-01,1.613397940124466565e-02,1.546174303394171642e-04,2.702614524323901923e-01,1.540193312008570015e+00,4.605423587632969884e+00
2.599999999999999881e-02,6.812351243794130262e-01,1.252796743221836970e-02,2.315512532839617520e-03,1.273557521318327279e-01,1.436115270100320362e+00,1.960656128961375089e+00
4.399999999999999745e-02,4.627796301938102430e-01,1.215757249006782677e-02,3.304869204343253031e-03,5.709917188734474347e-02,1.328183557295348649e+00,6.068774830436041157e-02
6.199999999999999956e-02,-9.785144041780373392e-03,2.168546271067769982e-02,-1.391927113735833737e-03,-2.558600517863815049e-04,1.215008328101192969e+00,-3.276849273444739197e+00
8.000000000000000167e-02,-1.382906160973115250e-01,2.978187332303748602e-02,-5.740820279775070943e-03,-1.523776952688121744e-02,1.116141988916421246e+00,-4.073225302248445701e+00
9.800000000000000377e-02,-2.252668369262303960e-01,4.210303567195367719e-02,-1.058163737319267952e-02,-2.022091340967173065e-02,1.026964381042690722e+00,-4.571724744011071095e+00
1.160000000000000059e-01,-2.646200455544244212e-01,4.997333791154960625e-02,-1.383745055077531885e-02,-1.902198350561581583e-02,9.485991130133666349e-01,-4.905725625519316679e+00
1.340000000000000080e-01,-2.804814260595396846e-01,5.347862583702159278e-02,-1.574186241688135118e-02,-1.623286399975661792e-02,8.792928249495419735e-01,-5.074767825744245897e+00
1.519999999999999962e-01,-2.829756899508550916e-01,5.406602498342637231e-02,-1.664317218435587900e-02,-1.331406748200662619e-02,8.177905340076068175e-01,-5.105946124385688734e+00
