# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.031814373076527680e-01,1.526408965523563289e-02,5.563262638962193971e-05,3.179683033592750618e-01,1.548537729764092319e+00,4.127323667747518243e+00
2.599999999999999881e-02,4.983019112038609144e-01,1.214583269626537919e-02,1.143416457554707194e-03,1.145628541054768412e-01,1.464153522642622551e+00,3.541825933655076142e-01
4.399999999999999745e-02,1.142408413286369606e-01,1.787891050036434851e-02,1.557484347399574261e-04,1.755108327652074238e-02,1.372254554511997515e+00,-2.464394391142420204e+00
6.199999999999999956e-02,-3.479764324237851758e-01,8.249960509106241124e-02,-9.675318956461606557e-03,-5.701532097869386334e-02,1.272003397779648326e+00,-6.542426219074286564e+00
8.000000000000000167e-02,-4.118139624342428973e-01,9.976610092455852341e-02,-1.416481942784155595e-02,-5.368829692285224248e-02,1.192030577722781093e+00,-8.421321154056606417e+00
9.800000000000000377e-02,-4.877490224734101765e-01,1.088341644767756439e-01,-1.841955177041704195e-02,-5.058509431975395654e-02,1.116633701590013183e+00,-9.709398363178358693e+00
1.160000000000000059e-01,-5.400842484649929220e-01,1.150839673355148196e-01,-2.160093666435843399e-02,-4.445371290952652987e-02,1.047933285162095496e+00,-1.059715445106744625e+01
1.340000000000000080e-01,-5.730338073415557343e-01,1.190187596930381841e-01,-2.368212481771538730e-02,-3.761061986512496957e-02,9.854316373711626831e-01,-1.115607382003383208e+01
1.519999999999999962e-01,-5.903387471894585570e-01,1.210852925202610397e-01,-2.481737493639821560e-02,-3.115248149134193859e-02,9.285084497831600503e-01,-1.144961541480980571e+01
