# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,8.442294392076929999e-01,1.427967102732308896e-02,-4.491211270090836549e-05,4.312496857003253470e-01,1.558835683307701281e+00,3.537294392076930194e+00
2.599999999999999881e-02,2.396189752168284837e-01,1.570735173138690724e-02,3.751339683691152837e-05,7.925402144962435946e-02,1.499257281027370770e+00,-1.657114607127539330e+00
4.399999999999999745e-02,-3.204657191205013134e-01,6.940039534759438744e-02,-3.167096426927978534e-03,-6.526317346122827157e-02,1.430989597377301248e+00,-5.829664456844298570e+00
6.199999999999999956e-02,-5.985717394893629306e-01,1.220684654757039911e-01,-1.133009641025429365e-02,-1.397897384672325827e-01,1.360087450182423829e+00,-1.158927066416249829e+01
8.000000000000000167e-02,-7.745054062889531465e-01,1.430782292223894414e-01,-1.670261219237746328e-02,-1.429555075875232895e-01,1.299408311365303437e+00,-1.457361210545304431e+01
9.800000000000000377e-02,-7.728786018781638179e-01,1.754305683408376171e-01,-1.934186919290391618e-02,-1.091769425280615935e-01,1.250539124859200601e+00,-1.738161397041567824e+01
1.160000000000000059e-01,-7.285473362724169677e-01,2.049024625102928987e-01,-2.006411366126877732e-02,-7.781605004345468202e-02,1.206084941827791468e+00,-1.965857690101386623e+01
1.340000000000000080e-01,-7.040453433342405143e-01,2.284193190511536187e-01,-2.013606449288847869e-02,-5.703404009353583298e-02,1.162564156236154833e+00,-2.130501956551932352e+01
1.519999999999999962e-01,-6.940764846808464839e-01,2.463372800766697179e-01,-1.983572995157886418e-02,-4.305699873526579874e-02,1.120031682362771175e+00,-2.242308832032399835e+01
