# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,4.620966051668179975e-01,1.157030470112741849e+00,-3.292317065102278503e-03,4.294144600762238306e-02,4.121476946705249222e-01,6.923767655933244214e+01
2.599999999999999881e-02,3.478442917232522080e-01,1.224016367783309356e+00,1.941622947740524463e-01,1.985827042652439367e-01,1.668318294295319526e-01,7.468524028524137748e+01
4.399999999999999745e-02,4.901384433168062826e-01,1.136207644788996607e+00,6.999999999999999556e-01,2.263367820786674756e-01,1.457283931149929990e-01,6.781037811928757719e+01
6.199999999999999956e-02,5.178285838263961827e-01,1.112831758382391234e+00,-1.000000029862822881e+00,6.999999999999999556e-01,-3.007905687609728807e-05,6.633972340301072279e+01
8.000000000000000167e-02,6.313520142267897706e-01,1.001296885262081604e+00,-1.000000046470756798e+00,6.999999999999999556e-01,4.224569857048171350e-05,5.987457949976933236e+01
9.800000000000000377e-02,7.137033604796934050e-01,8.908041221108531360e-01,-1.000000040675890212e+00,6.999999999999999556e-01,4.139877354357240983e-05,5.426662802499893701e+01
1.160000000000000059e-01,7.715618323370911913e-01,7.889188306967883646e-01,-1.000000050503970783e+00,6.999999999999999556e-01,4.633633749098846198e-05,4.944234512342367083e+01
1.340000000000000080e-01,8.124516649670081581e-01,6.990397209460479377e-01,-1.000000055719782344e+00,6.999999999999999556e-01,4.773335567989427461e-05,4.530226508017754838e+01
1.519999999999999962e-01,8.425636772760171089e-01,6.211921616143365465e-01,-1.000000060039052840e+00,6.999999999999999556e-01,4.796004403711837485e-05,4.174725209189141140e+01
