# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.986534398598263529e-01,1.703555044889986519e-02,2.682730725502812373e-04,2.385656546951205881e-01,1.531801758414424341e+00,5.086224192135347266e+00
2.599999999999999881e-02,8.484989754569439713e-01,1.434798360731110237e-02,3.755546336811361584e-03,1.339977655655483491e-01,1.407852566645202419e+00,3.579989754569439242e+00
4.399999999999999745e-02,7.485179306705959101e-01,1.306117930670595839e-02,7.019094436183124369e-03,7.881104971420752059e-02,1.283911534675846067e+00,2.597287794909576064e+00
6.199999999999999956e-02,3.928921871083920769e-01,1.267792625841436885e-02,9.072154611143336267e-03,5.123078330401985986e-02,1.166979132126461316e+00,-5.249790506859000061e-01
8.000000000000000167e-02,3.409945656779102552e-01,1.390433385813592826e-02,1.125240100324203726e-02,3.795314920733069280e-02,1.061931043545283115e+00,-9.671669290679645314e-01
9.800000000000000377e-02,3.106902986780722409e-01,1.445110430190849060e-02,1.305145780534085545e-02,2.921161417733232971e-02,9.679060454229537758e-01,-1.187931367933003912e+00
1.160000000000000059e-01,2.988527736509782873e-01,1.466977037510561882e-02,1.488708157397579043e-02,2.368445869290798297e-02,8.851839142391019211e-01,-1.272302378770753251e+00
1.340000000000000080e-01,2.994545130461185867e-01,1.465869440272254097e-02,1.690026299014353584e-02,2.005716788777847301e-02,8.128551517938706894e-01,-1.268169553254679727e+00
1.519999999999999962e-01,3.084746032554954720e-01,1.449208826348216510e-02,1.912648666960973035e-02,1.755617921457879385e-02,7.496876924087412242e-01,-1.203940727922720555e+00
