# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,1.010506180665360576e+00,2.224717745181256923e-01,1.493635031742726388e-03,4.401547277714722151e-02,1.255207693079021691e+00,2.093389677421967576e+01
2.599999999999999881e-02,8.254934246357240601e-01,6.657124131344058782e-01,1.512308261637522987e-02,6.327490060277331241e-02,7.061987549308796908e-01,4.378179184506706179e+01
4.399999999999999745e-02,7.870401365716001019e-01,7.588373897920452915e-01,5.613363101528367344e-02,8.068650214223310746e-02,4.907115124171081422e-01,4.804430138001821149e+01
6.199999999999999956e-02,8.418490639490646688e-01,6.235019181052672277e-01,2.084255590855715601e-01,1.241465050065016507e-01,4.273182419491457495e-01,4.185446822736377470e+01
8.000000000000000167e-02,8.668093823927640607e-01,5.428257602915098623e-01,3.629186702094489569e-01,1.269471127863997240e-01,3.799131938104360895e-01,3.810957741332634896e+01
9.800000000000000377e-02,8.900171750465744047e-01,4.647625597157762911e-01,5.261199855598146513e-01,1.197811720612057956e-01,3.473462832036358083e-01,3.436752394287583456e+01
1.160000000000000059e-01,9.100436277546395392e-01,3.969898435893952637e-01,6.833144294938965357e-01,1.084917539483340604e-01,3.215134203656241363e-01,3.102363795623424636e+01
1.340000000000000080e-01,9.233968805200862828e-01,3.627494955229910167e-01,6.999999999999999556e-01,1.021227231976572780e-01,2.814861361079597502e-01,2.917703240956885580e+01
1.519999999999999962e-01,9.351324357252224218e-01,3.326572399479189035e-01,6.999999999999999556e-01,9.517318827295385975e-02,2.477645609083496681e-01,2.755413634703954173e+01
