# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,8.655727973438297473e-01,5.468226215808794644e-01,1.125476980572921292e-03,2.780721059334762685e-02,9.521974136085538110e-01,3.829510693695705470e+01
2.599999999999999881e-02,6.057530595702977916e-01,1.030038250106759090e+00,3.511301792425436386e-02,9.605444135734172995e-02,3.981425206550438523e-01,6.143211392176578300e+01
4.399999999999999745e-02,6.310817488413218435e-01,1.001600327185896866e+00,1.704567334312478699e-01,1.294928296000776025e-01,2.839472069286425038e-01,5.989102343846093390e+01
6.199999999999999956e-02,7.670229590193543556e-01,7.977399423258780820e-01,5.864466032924511296e-01,1.743336267421465025e-01,2.877295898552033049e-01,4.985230886026666042e+01
8.000000000000000167e-02,8.075928576254698399e-01,7.114560644443371773e-01,6.999999999999999556e-01,1.865283665105693656e-01,2.444904511751915255e-01,4.586872901641221034e+01
9.800000000000000377e-02,7.136330592973352260e-01,8.909079320604270658e-01,-1.000000053899020358e+00,6.999999999999999556e-01,-4.764086002587789714e-05,5.427172962021185754e+01
1.160000000000000059e-01,7.715147150639877216e-01,7.890104011585766797e-01,-1.000000018375036381e+00,6.999999999999999556e-01,-2.794075528616683077e-05,4.944660088735430747e+01
1.340000000000000080e-01,8.124099414002968755e-01,6.991463426126102165e-01,-1.000000033800366506e+00,6.999999999999999556e-01,-3.716541096296177511e-05,4.530712942119204456e+01
1.519999999999999962e-01,8.425350837928330394e-01,6.212845808022972038e-01,-1.000000018920502054e+00,6.999999999999999556e-01,-2.691437557192951678e-05,4.175154208012850177e+01
