# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.130280771329426504e-01,1.543808650355400769e-02,7.491105539874830732e-05,3.061411007430543951e-01,1.546812265053155500e+00,4.226185513382958447e+00
2.599999999999999881e-02,5.379010369533339109e-01,1.213999999999999975e-02,1.362702210559302339e-03,1.179934137934301602e-01,1.458372489671502015e+00,6.854113838366941991e-01
4.399999999999999745e-02,1.928386541631181561e-01,1.645270942337245801e-02,7.467595236683516801e-04,2.797341554855951179e-02,1.363198481218247160e+00,-1.945519612449388092e+00
6.199999999999999956e-02,-3.166283773229774945e-01,6.664925193865926800e-02,-8.773671861516249212e-03,-5.008682809022264176e-02,1.257733460735730002e+00,-5.724819052540368602e+00
8.000000000000000167e-02,-3.577419200063360338e-01,9.302928290252446275e-02,-1.328017144004060499e-02,-4.433156191059342555e-02,1.175470683225650070e+00,-7.472509090189085157e+00
9.800000000000000377e-02,-4.233361921846758857e-01,1.011420702276219497e-01,-1.728667813790626256e-02,-4.183049273191857820e-02,1.097563762524465858e+00,-8.616771339150844256e+00
1.160000000000000059e-01,-4.683734376619562711e-01,1.065203579907991888e-01,-2.031555214942242643e-02,-3.681671818775342914e-02,1.026702719974617928e+00,-9.380732669147612057e+00
1.340000000000000080e-01,-4.954195860120668149e-01,1.097501729399806697e-01,-2.229778981645594294e-02,-3.110668384415740326e-02,9.624533197791762529e-01,-9.839513201701798550e+00
1.519999999999999962e-01,-5.082283590226321923e-01,1.112797795225766301e-01,-2.337592595955546165e-02,-2.568385686677861907e-02,9.041990056557889233e-01,-1.005678686400236188e+01
