# r,cl,cd,a,al,phi,alpha
7.000000000000000146e-03,9.165080394535199959e-01,1.550055234470238720e-02,8.188809481231344939e-05,3.022571375016631090e-01,1.546201674893286970e+00,4.261169752555645118e+00
2.599999999999999881e-02,5.518267013589116532e-01,1.214650874706506463e-02,1.444288088385291225e-03,1.191014739358214336e-01,1.456298546772938129e+00,8.042395588755368863e-01
4.399999999999999745e-02,2.222434964362928200e-01,1.599073808591360349e-02,9.797598431533160145e-04,3.166826002272150192e-02,1.359998909437096781e+00,-1.762197653140319176e+00
6.199999999999999956e-02,-3.047754941645487436e-01,5.971479941246463780e-02,-8.352901079590812489e-03,-4.773121128993875611e-02,1.252671866166636505e+00,-5.434811046124977452e+00
8.000000000000000167e-02,-3.607401062352600940e-01,8.933583002358379266e-02,-1.340627239568127280e-02,-4.428867409716168851e-02,1.168345510133410148e+00,-7.064266743703548457e+00
9.800000000000000377e-02,-4.006058177457945124e-01,9.842763924052387592e-02,-1.683299456301514882e-02,-3.888839305658686740e-02,1.090834251438809410e+00,-8.231198755756231833e+00
1.160000000000000059e-01,-4.430976532459478534e-01,1.035019575404896586e-01,-1.979362659225911147e-02,-3.424018513163516048e-02,1.019219619690302503e+00,-8.951982605183189889e+00
1.340000000000000080e-01,-4.682621501984437495e-01,1.065070681903937388e-01,-2.173251173659822635e-02,-2.891802486273250053e-02,9.544131413889265225e-01,-9.378844913408201478e+00
1.519999999999999962e-01,-4.796244511352081852e-01,1.078639390079166455e-01,-2.278257567002192271e-02,-2.384282373638166655e-02,8.957305875160398445e-01,-9.571582245442705528e+00
