GV03
  1.000000   0.000009
  0.999482   0.000130
  0.997928   0.000493
  0.995343   0.001097
  0.991731   0.001940
  0.987100   0.003017
  0.981459   0.004327
  0.974820   0.005865
  0.967197   0.007626
  0.958606   0.009606
  0.949064   0.011798
  0.938591   0.014196
  0.927210   0.016791
  0.914943   0.019571
  0.901816   0.022530
  0.887856   0.025646
  0.873092   0.028910
  0.857555   0.032312
  0.841277   0.035828
  0.824291   0.039435
  0.806633   0.043105
  0.788340   0.046812
  0.769449   0.050527
  0.750000   0.054232
  0.730033   0.057901
  0.709588   0.061509
  0.688710   0.065040
  0.667440   0.068471
  0.645823   0.071783
  0.623904   0.074955
  0.601728   0.077965
  0.579341   0.080794
  0.556790   0.083419
  0.534121   0.085796
  0.511382   0.087934
  0.488618   0.089817
  0.465879   0.091429
  0.443210   0.092759
  0.420659   0.093771
  0.398272   0.094455
  0.376096   0.094821
  0.354177   0.094863
  0.332560   0.094573
  0.311290   0.093947
  0.290412   0.092984
  0.269967   0.091682
  0.250000   0.090021
  0.230551   0.088033
  0.211660   0.085726
  0.193367   0.083113
  0.175709   0.080207
  0.158723   0.077018
  0.142445   0.073552
  0.126908   0.069791
  0.112144   0.065788
  0.098184   0.061577
  0.085057   0.057189
  0.072790   0.052669
  0.061409   0.048022
  0.050936   0.043161
  0.041394   0.038285
  0.032803   0.033491
  0.025180   0.028633
  0.018541   0.023791
  0.012900   0.019127
  0.008269   0.014661
  0.004657   0.010432
  0.002072   0.006506
  0.000518   0.002911
  0.000000   0.000000
  0.000518  -0.002705
  0.002072  -0.005455
  0.004657  -0.007790
  0.008269  -0.009844
  0.012900  -0.011679
  0.018541  -0.013332
  0.025180  -0.014836
  0.032803  -0.016253
  0.041394  -0.017565
  0.050936  -0.018657
  0.061409  -0.019722
  0.072790  -0.020691
  0.085057  -0.021524
  0.098184  -0.022309
  0.112144  -0.023024
  0.126908  -0.023612
  0.142445  -0.024131
  0.158723  -0.024588
  0.175709  -0.024972
  0.193367  -0.025279
  0.211660  -0.025510
  0.230551  -0.025666
  0.250000  -0.025749
  0.269967  -0.025759
  0.290412  -0.025703
  0.311290  -0.025578
  0.332560  -0.025389
  0.354177  -0.025137
  0.376096  -0.024825
  0.398272  -0.024455
  0.420659  -0.024030
  0.443210  -0.023558
  0.465879  -0.023037
  0.488618  -0.022469
  0.511382  -0.021860
  0.534121  -0.021207
  0.556790  -0.020512
  0.579341  -0.019779
  0.601728  -0.019009
  0.623904  -0.018202
  0.645823  -0.017360
  0.667440  -0.016492
  0.688710  -0.015600
  0.709588  -0.014692
  0.730033  -0.013775
  0.750000  -0.012859
  0.769449  -0.011951
  0.788340  -0.011057
  0.806633  -0.010185
  0.824291  -0.009336
  0.841277  -0.008510
  0.857555  -0.007703
  0.873092  -0.006924
  0.887856  -0.006179
  0.901816  -0.005471
  0.914943  -0.004811
  0.927210  -0.004198
  0.938591  -0.003636
  0.949064  -0.003123
  0.958606  -0.002658
  0.967197  -0.002240
  0.974820  -0.001869
  0.981459  -0.001545
  0.987100  -0.001269
  0.991731  -0.001043
  0.995343  -0.000864
  0.997928  -0.000736
  0.999482  -0.000659
  1.000000  -0.000634
