V Drag
1.0 26.055270424
1.25 33.3771957918
1.5 50.9467823525
1.75 54.3887301059
2.0 64.7691090523
2.25 73.7642391914
2.5 79.0899905235
2.75 82.4049030483
3.0 85.607366766
3.3 64.5179641675
3.6 60.0162155513
3.9 58.2036473365
4.2 58.2964085606
4.5 59.7698400442
4.8 62.3661785668
5.1 65.9789186068
5.4 70.6173110321
5.7 76.4891388988
6.0 83.5841169216
6.3 94.3549794593
6.6 111.269788547
6.9 139.754996509
